Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,2,76,2488,1353,428,428,0.416,0.309,0.844,32.7,17.8,5.6,5.6,-0.6,-0.012,-1.5,0.3
2,2,HOU,Jalen Green,,2,141,4674,2800,505,447,0.42,0.34,0.791,33.1,19.9,3.6,3.2,2.3,0.024,-2.5,-0.6
3,3,CLE,Evan Mobley,USC,2,147,5034,2305,1276,398,0.533,0.232,0.669,34.2,15.7,8.7,2.7,13.7,0.131,1.2,4
4,4,TOR,Scottie Barnes,Florida State,2,149,5243,2297,1065,619,0.474,0.293,0.755,35.2,15.4,7.1,4.2,11.7,0.108,0.7,3.6
5,5,ORL,Jalen Suggs,Gonzaga,2,98,2495,1051,315,358,0.387,0.263,0.747,25.5,10.7,3.2,3.7,-0.4,-0.008,-3.5,-1
6,6,OKC,Josh Giddey,,2,129,4031,1917,1012,806,0.459,0.294,0.723,31.2,14.9,7.8,6.2,4.2,0.05,0.2,2.3
7,7,GSW,Jonathan Kuminga,,2,135,2536,1288,457,182,0.516,0.346,0.666,18.8,9.5,3.4,1.3,5.2,0.097,-1.8,0.1
8,8,ORL,Franz Wagner,Michigan,2,157,4999,2660,676,511,0.478,0.36,0.847,31.8,16.9,4.3,3.3,9.4,0.09,-0.4,2.1
9,9,SAC,Davion Mitchell,Baylor,2,154,3495,1306,269,493,0.432,0.319,0.698,22.7,8.5,1.7,3.2,1.8,0.024,-3.3,-1.2
10,10,NOP,Ziaire Williams,Stanford,2,98,1874,687,204,91,0.443,0.296,0.781,19.1,7,2.1,0.9,2.2,0.057,-3.9,-0.9
11,11,CHO,James Bouknight,UConn,2,63,767,315,119,64,0.356,0.331,0.789,12.2,5,1.9,1,-0.2,-0.014,-6.2,-0.8
12,12,SAS,Joshua Primo,Alabama,2,54,1058,316,126,99,0.372,0.302,0.75,19.6,5.9,2.3,1.8,-0.1,-0.006,-5.1,-0.8
13,13,IND,Chris Duarte,Oregon,2,101,2438,1082,341,178,0.41,0.347,0.821,24.1,10.7,3.4,1.8,0.9,0.018,-3.1,-0.7
14,14,GSW,Moses Moody,Arkansas,2,113,1385,503,180,70,0.45,0.357,0.727,12.3,4.5,1.6,0.6,2.3,0.08,-2.7,-0.2
15,15,WAS,Corey Kispert,Gonzaga,2,149,3848,1417,410,170,0.476,0.388,0.853,25.8,9.5,2.8,1.1,5.8,0.073,-2,0
16,16,OKC,Alperen Şengün,,2,145,3605,1775,1038,467,0.523,0.272,0.711,24.9,12.2,7.2,3.2,7.1,0.095,0.4,2.2
17,17,MEM,Trey Murphy III,Virginia,2,139,3233,1431,421,148,0.459,0.402,0.898,23.3,10.3,3,1.1,9.1,0.135,0.9,2.4
18,18,OKC,Tre Mann,Florida,2,125,2502,1118,314,199,0.39,0.339,0.773,20,8.9,2.5,1.6,0.4,0.007,-4.3,-1.5
19,19,NYK,Kai Jones,Texas,2,65,576,169,132,18,0.581,0.25,0.636,8.9,2.6,2,0.3,0.7,0.058,-4.5,-0.4
20,20,ATL,Jalen Johnson,Duke,2,90,1123,426,300,79,0.496,0.279,0.654,12.5,4.7,3.3,0.9,2.1,0.089,-0.5,0.4
21,21,NYK,Keon Johnson,Tennessee,2,77,1113,456,125,135,0.362,0.343,0.739,14.5,5.9,1.6,1.8,-0.9,-0.039,-5.7,-1
22,22,LAL,Isaiah Jackson,Kentucky,2,97,1528,731,415,58,0.565,0.233,0.661,15.8,7.5,4.3,0.6,4.1,0.127,-0.9,0.4
23,23,HOU,Usman Garuba,,2,97,1188,271,385,81,0.484,0.387,0.63,12.2,2.8,4,0.8,2.4,0.097,-1,0.3
24,24,HOU,Josh Christopher,Arizona State,2,136,2070,940,253,218,0.455,0.28,0.743,15.2,6.9,1.9,1.6,0.4,0.009,-3.7,-0.9
25,25,LAC,Quentin Grimes,Houston,2,115,2842,1038,320,189,0.448,0.381,0.776,24.7,9,2.8,1.6,6,0.102,-0.2,1.3
26,26,DEN,Bones Hyland,VCU,2,123,2356,1337,312,358,0.402,0.372,0.849,19.2,10.9,2.5,2.9,3.8,0.078,-0.5,0.9
27,27,BRK,Cam Thomas,LSU,2,123,2081,1128,254,155,0.433,0.308,0.849,16.9,9.2,2.1,1.3,1.6,0.037,-3.2,-0.6
28,28,PHI,Jaden Springer,Tennessee,2,16,59,25,14,5,0.435,0,0.833,3.7,1.6,0.9,0.3,0.2,0.15,2.3,0.1
29,29,PHO,Day'Ron Sharpe,UNC,2,78,908,414,350,50,0.561,0.444,0.602,11.6,5.3,4.5,0.6,2.7,0.141,-2.6,-0.1
30,30,UTA,Santi Aldama,Loyola (MD),2,109,2042,828,458,118,0.457,0.318,0.727,18.7,7.6,4.2,1.1,4.9,0.115,-0.6,0.7
31,31,MIL,Isaiah Todd,,2,17,90,22,12,4,0.258,0.211,0.333,5.3,1.3,0.7,0.2,-0.3,-0.137,-8.9,-0.2
32,32,NYK,Jeremiah Robinson-Earl,Villanova,2,90,1859,648,446,89,0.431,0.344,0.777,20.7,7.2,5,1,3.3,0.086,-1.8,0.1
33,33,ORL,Jason Preston,Ohio University,1,13,122,41,22,27,0.439,0.278,0,9.4,3.2,1.7,2.1,0.1,0.021,-2.5,0
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,2,142,4213,1372,558,321,0.47,0.336,0.801,29.7,9.7,3.9,2.3,8.6,0.098,-0.5,1.6
36,36,OKC,Miles McBride,West Virginia,2,102,1102,299,91,113,0.333,0.279,0.667,10.8,2.9,0.9,1.1,1,0.042,-3,-0.3
37,37,DET,JT Thor,Auburn,2,100,1171,314,184,51,0.417,0.307,0.651,11.7,3.1,1.8,0.5,0.5,0.022,-4.3,-0.7
38,38,CHI,Ayo Dosunmu,Illinois,2,155,4146,1345,423,455,0.508,0.35,0.748,26.7,8.7,2.7,2.9,5.9,0.068,-2.2,-0.2
39,39,SAC,Neemias Queta,Utah State University,2,19,145,57,40,7,0.5,,0.579,7.6,3,2.1,0.4,0.2,0.07,-4.7,-0.1
40,40,NOP,Jared Butler,Baylor,2,46,389,173,46,67,0.407,0.323,0.688,8.5,3.8,1,1.5,0.5,0.059,-1.6,0
41,41,SAS,Joe Wieskamp,Iowa,2,36,238,70,17,10,0.359,0.34,0.538,6.6,1.9,0.5,0.3,0.2,0.032,-4.2,-0.1
42,42,DET,Isaiah Livers,Michigan,2,71,1582,467,200,62,0.426,0.378,0.83,22.3,6.6,2.8,0.9,1.7,0.051,-2.2,-0.1
43,43,NOP,Greg Brown III,Texas,2,64,733,253,154,38,0.422,0.294,0.636,11.5,4,2.4,0.6,0.3,0.017,-5.1,-0.6
44,44,BRK,Kessler Edwards,Pepperdine,2,82,1340,378,230,52,0.406,0.339,0.813,16.3,4.6,2.8,0.6,0.9,0.034,-3.9,-0.6
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,2,93,952,326,162,128,0.408,0.268,0.646,10.2,3.5,1.7,1.4,0.7,0.035,-2.7,-0.2
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,,1,0,0,0,0,-0.495,-27.7,0
48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,0.214,0.167,,3,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,
51,51,MEM,Brandon Boston Jr.,Kentucky,2,72,1007,486,140,70,0.395,0.329,0.8,14,6.8,1.9,1,0.6,0.03,-3.1,-0.3
52,52,DET,Luka Garza,Iowa,2,59,626,363,160,38,0.492,0.345,0.699,10.6,6.2,2.7,0.6,1.8,0.139,-1.5,0.1
53,53,PHI,Charles Bassey,Western Kentucky,2,58,676,268,255,54,0.643,0.25,0.633,11.7,4.6,4.4,0.9,2.1,0.147,0.8,0.5
54,54,IND,Sandro Mamukelashvili,Seton Hall,2,81,989,374,243,75,0.446,0.333,0.74,12.2,4.6,3,0.9,1.9,0.091,-1.7,0.1
55,55,OKC,Aaron Wiggins,Maryland,2,118,2470,874,382,145,0.486,0.349,0.77,20.9,7.4,3.2,1.2,3.6,0.07,-3.3,-0.8
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,0.5,3.5,0.5,0,0.5,0,0.164,6,0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,2,92,1338,262,403,45,0.753,0,0.533,14.5,2.8,4.4,0.5,4,0.144,-1,0.3
59,59,BRK,RaiQuan Gray,Florida State,,,,,,,,,,,,,,,,,
60,60,IND,Georgios Kalaitzakis,,1,13,214,86,21,12,0.463,0.385,0.467,16.5,6.6,1.6,0.9,-0.1,-0.024,-7,-0.3
